"company_id","transaction_id","close","large_dip","date_published","industry_id","pb_ratio","pc_ratio","pe_ratio","ps_ratio","discount_percentile","institution_held","insider_held","return_on_assets","return_on_equity","total_debt_equity","current_ratio","market_cap","recovered"
42,1525810,27.38,t,"2019-06-08 00:00:00",30,0.711908476339054,2.04786836200449,11.8528138528139,1.01369863013699,0.424705882352941,96.11,1.69,0.29,7.15,21.13,0.25,1910000000,f
42,2846315,23.2,t,"2019-08-03 00:00:00",30,0.603224128965159,1.73522812266268,10.04329004329,0.858941132913736,0.178823529411765,96.11,1.69,0.29,7.15,21.13,0.25,1910000000,f
42,1768090,26.77,t,"2019-03-23 00:00:00",30,0.696047841913677,2.00224382946896,11.5887445887446,0.991114402073306,0.388823529411765,96.11,1.69,0.29,7.15,21.13,0.25,1910000000,t
42,2052054,30.72,t,"2018-12-08 00:00:00",30,0.798751950078003,2.29768137621541,13.2987012987013,1.13735653461681,0.621176470588235,96.11,1.69,0.29,7.15,21.13,0.25,1910000000,f
43,2398927,35.51,t,"2018-08-16 00:00:00",31,1.81081081081081,41.7764705882353,-26.6992481203007,3.93680709534368,0.101834862385321,76.19,0.12,0.97,-6.51,38.88,1.29,15390000000,f
43,3098816,57.71,t,"2019-09-10 00:00:00",31,2.94288628250892,67.8941176470588,-43.390977443609,6.3980044345898,0.780733944954129,76.19,0.12,0.97,-6.51,38.88,1.29,15390000000,f
44,1513238,16.6,t,"2019-06-13 00:00:00",32,2.28335625859697,8.82978723404255,10.9210526315789,0.691666666666667,0.250425894378194,94.61,5.86,8.3,21.48,131.68,1.34,2970000000,t
44,1606249,20.44,t,"2019-05-14 00:00:00",32,2.81155433287483,10.8723404255319,13.4473684210526,0.851666666666667,0.577512776831346,94.61,5.86,8.3,21.48,131.68,1.34,2970000000,f
44,2243246,22.29,t,"2018-10-05 00:00:00",32,3.06602475928473,11.8563829787234,14.6644736842105,0.92875,0.735093696763203,94.61,5.86,8.3,21.48,131.68,1.34,2970000000,f
44,2354581,25.5,t,"2018-08-30 00:00:00",32,3.50756533700138,13.563829787234,16.7763157894737,1.0625,1.00851788756388,94.61,5.86,8.3,21.48,131.68,1.34,2970000000,f
44,2052056,18.96,t,"2018-12-08 00:00:00",32,2.60797799174691,10.0851063829787,12.4736842105263,0.79,0.45144804088586,94.61,5.86,8.3,21.48,131.68,1.34,2970000000,t
